,HL_average_rpm,HL_connected_camera_1,HL_connected_camera_2,HL_connected_cpu0,HL_connected_cpu1,HL_connected_eth,HL_connected_hgs,HL_connected_imu_2,HL_connected_imu1,HL_connected_MC,HL_connected_pdu,HL_connected_radio1,HL_connected_radio2,HL_connected_tof,HL_left_total_distance_cpu0,HL_left_total_distance_cpu1,HL_mission_time,HL_pitch,HL_right_total_distance_cpu0,HL_right_total_distance_cpu1,HL_roll,HL_total_distance,HL_tx_rate,IMU_accl_x,IMU_accl_y,IMU_accl_z,IMU_imu_val_type,IMU_temp,MC_cpu_id,MC_elapsed_time_cpu0,MC_elapsed_time_cpu1,MC_left_current_cpu0,MC_left_current_cpu1,MC_left_overcurrent_occurred_cpu0,MC_left_overcurrent_occurred_cpu1,MC_left_overheat_occurred_cpu0,MC_left_overheat_occurred_cpu1,MC_left_rotation_cpu0,MC_left_rotation_cpu1,MC_left_rpm_cpu0,MC_left_rpm_cpu1,MC_left_temp_cpu0,MC_left_temp_cpu1,MC_left_undervoltage_occurred_cpu0,MC_left_undervoltage_occurred_cpu1,MC_left_wheel_lock_occurred_cpu0,MC_left_wheel_lock_occurred_cpu1,MC_left_wheel_slip_occurred_cpu0,MC_left_wheel_slip_occurred_cpu1,MC_mc_val_type,MC_motor_id_cpu0,MC_motor_id_cpu1,MC_right_current_cpu0,MC_right_current_cpu1,MC_right_overcurrent_occurred_cpu0,MC_right_overcurrent_occurred_cpu1,MC_right_overheat_occurred_cpu0,MC_right_overheat_occurred_cpu1,MC_right_rotation_cpu0,MC_right_rotation_cpu1,MC_right_rpm_cpu0,MC_right_rpm_cpu1,MC_right_temp_cpu0,MC_right_temp_cpu1,MC_right_undervoltage_occurred_cpu0,MC_right_undervoltage_occurred_cpu1,MC_right_wheel_lock_occurred_cpu0,MC_right_wheel_lock_occurred_cpu1,MC_right_wheel_slip_occurred_cpu0,MC_right_wheel_slip_occurred_cpu1,MC_temp_cpu0,MC_temp_cpu1,MC_voltage_cpu0,MC_voltage_cpu1,PDU_curin0,PDU_curin1,PDU_curin2,PDU_curout0,PDU_curout1,PDU_curout2,PDU_curout3,PDU_curout4,PDU_curout5,PDU_cursun,PDU_cursys,PDU_output0,PDU_output1,PDU_output2,PDU_output3,PDU_output4,PDU_output5,PDU_pdu_val_type,PDU_temp0,PDU_temp1,PDU_temp2,PDU_temp3,PDU_vbatt,PDU_vboost0,PDU_vboost1,PDU_vboost2,PDU_wdt_gnd_time_left,PDU_wdt_i2c_time_left,RADIO_channel_id,RADIO_device_type,RADIO_error,RADIO_failed_packets,RADIO_passed_packets,RADIO_radio_val_type,RADIO_rf_connected,RADIO_rssi,RADIO_subscriber_id,RADIO_total_packets
PDU_output5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDU_pdu_val_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDU_temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,N
PDU_temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDU_temp2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,,,,,,,N,,,,,N
PDU_temp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDU_vbatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDU_vboost0,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,,,,,,N,,,,,N
PDU_vboost1,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,N,,,,,N
PDU_vboost2,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,N,,,,,N
PDU_wdt_gnd_time_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDU_wdt_i2c_time_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_channel_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_device_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_failed_packets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_passed_packets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_radio_val_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_rf_connected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_rssi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_subscriber_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO_total_packets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P
